Frequency (Hz),Magnitude (dB),Phase (°)
290.575105,60.513783335,4.0688093962
312.437787,60.527481766,3.7901679026
335.945403,60.541767038,3.3964082681
361.221717,60.524157819,3.0604310242
388.399805,60.542020934,2.7874343342
417.622754,60.539600082,2.54868317
449.044419,60.512789972,2.2671652564
482.830229,60.51709546,2.0420710623
519.158062,60.542092583,1.7650740702
558.219178,60.508777428,1.5469034036
600.219227,60.52327254,1.3164111297
645.379332,60.537799292,1.1323942798
693.937253,60.526443758,1.0584966617
746.148642,60.526160055,0.76789178629
802.288381,60.541403621,0.62343690732
862.652038,60.524939556,0.32542862719
927.557418,60.515311559,0.31756288626
997.346235,60.549403184,-0.061277610665
1072.385919,60.526547711,-0.13381322622
1153.071539,60.536336162,-0.36476674316
1239.827893,60.526535079,-0.62038004832
1333.111739,60.524866233,-0.73435529957
1433.414201,60.538733009,-0.85288113531
1541.263354,60.534104634,-0.96190836922
1657.227009,60.52371037,-1.1598081579
1781.915693,60.536854537,-1.3496843352
1915.985873,60.53209325,-1.7074841882
2060.143406,60.53828317,-1.8142211902
2215.147258,60.532254289,-2.0730468919
2381.8135,60.538753276,-2.248744246
2561.019601,60.522949942,-2.6797293013
2753.709054,60.518347693,-2.804180836
2960.896335,60.514891702,-3.0968785879
3183.672253,60.508876819,-3.5550572285
3423.209687,60.549482514,-3.7424298511
3680.769761,60.533409286,-4.0062183327
3957.708488,60.53634132,-4.3848155787
4255.483905,60.559671246,-4.6470793949
4575.663752,60.522558939,-5.2038715548
4919.933722,60.536651104,-5.8558046778
5290.106341,60.554116433,-6.1247221901
5688.130508,60.558572882,-6.6480405328
6116.101754,60.535954442,-7.0237755927
6576.27328,60.555853415,-7.7403626653
7071.067812,60.55210454,-8.438472694
7603.090363,60.528320281,-8.9250415101
8175.141946,60.52774812,-9.6507467023
8790.234319,60.591574584,-10.511325713
9451.605842,60.499900196,-10.939123314
10162.73853,60.531836766,-12.195069937
10927.376379,60.548822008,-13.450673466
11749.545084,60.521415376,-14.329608771
12633.573228,60.515977779,-15.078488971
13584.115076,60.575800244,-16.290613824
14606.175075,60.526096776,-17.588520747
15705.134205,60.566080979,-18.677481077
16886.778307,60.560867313,-20.077337049
18157.328544,60.557051897,-21.836516701
19523.474155,60.521081329,-23.546176812
20992.407676,60.589197116,-25.068603567
22571.862801,60.547103638,-27.061206722
24270.155104,60.549543049,-29.204493695
26096.225818,60.515286573,-31.722231597
28059.688906,60.527323201,-33.995011369
30170.881683,60.498721037,-36.908999084
32440.919233,60.520512287,-39.598039157
34881.752935,60.547220825,-42.689563543
