Frequency (Hz),Magnitude (dB),Phase (°)
600.219227,60.521683585,1.679254161
645.379332,60.534990729,1.1942250099
693.937253,60.509197469,1.1060500429
746.148642,60.534535095,0.83342921481
802.288381,60.519706672,0.68119534375
862.652038,60.508451882,0.42397268986
927.557418,60.510414742,0.33078957035
997.346235,60.515672214,0.24562051015
1072.385919,60.50021688,-0.069925187189
1153.071539,60.527124942,-0.21954126641
1239.827893,60.517871495,-0.49945246041
1333.111739,60.532092612,-0.58248134496
1433.414201,60.52655493,-0.7838389766
1541.263354,60.522658508,-1.1157371446
1657.227009,60.528578774,-1.0753824496
1781.915693,60.50746893,-1.3963370173
1915.985873,60.51714996,-1.568187139
2060.143406,60.51626148,-1.8892115478
2215.147258,60.524085836,-2.045617404
2381.8135,60.50712561,-2.2051295545
2561.019601,60.522514315,-2.5476330163
2753.709054,60.520806257,-2.8048750874
2960.896335,60.513750577,-3.076920015
3183.672253,60.53002527,-3.6320233812
3423.209687,60.545522774,-3.7096969003
3680.769761,60.524216139,-4.0362700087
3957.708488,60.555406813,-4.3707360409
4255.483905,60.535286019,-4.6849588103
4575.663752,60.510605787,-5.1098852272
4919.933722,60.519499974,-5.4241263246
5290.106341,60.529468674,-5.9483654501
5688.130508,60.517759438,-6.5738122168
6116.101754,60.5306618,-7.2401177995
6576.27328,60.519403704,-7.7329366321
7071.067812,60.521792693,-8.2247364486
7603.090363,60.511161562,-8.7231596323
8175.141946,60.491696201,-9.2336190348
8790.234319,60.529144067,-10.470143636
9451.605842,60.550163755,-11.183884245
10162.73853,60.548598636,-11.890174152
10927.376379,60.493232224,-12.725163206
11749.545084,60.526542844,-13.875542941
12633.573228,60.531112633,-14.691957801
13584.115076,60.49947798,-15.941650386
14606.175075,60.517664208,-17.209518086
15705.134205,60.505667332,-18.596218214
16886.778307,60.507159147,-19.77929848
18157.328544,60.52719331,-21.335231043
19523.474155,60.516784532,-22.9527046
20992.407676,60.479705025,-24.627698667
22571.862801,60.478796854,-26.650501182
24270.155104,60.476310278,-28.581610521
26096.225818,60.495309024,-30.836173877
28059.688906,60.465299603,-33.226288558
30170.881683,60.476102131,-35.832318818
32440.919233,60.461802808,-38.602959048
34881.752935,60.457023999,-41.741022052
37506.233381,60.420274098,-44.982827971
40328.178031,60.452687959,-48.524276171
43362.443964,60.391590209,-52.514393645
46625.006097,60.353738227,-56.43997213
50133.041286,60.330164948,-61.088125179
53905.018765,60.291391296,-66.253618932
57960.797381,60.230164338,-71.645840002
62321.730148,60.15753184,-77.996247426
67010.776664,60.006433873,-84.464127875
72052.623996,59.818459206,-92.252814566
77473.816648,59.574172577,-100.2367354
83302.896316,59.206857944,-108.98294053
89570.552153,58.707037744,-118.6294131
96309.782347,58.095855532,-129.0286818
103556.06785,57.16899048,-139.56341989
111347.55916,56.156402073,-149.8955711
119725.27722,54.940637721,-160.24257907
128733.32936,53.53890826,-170.0075896
138419.14148,52.009843435,-178.95777757
148833.70782,50.367768159,172.48429602
160031.85937,48.669375609,164.76218408
172072.55258,46.888498096,157.9112434
185019.17972,45.07496173,151.60895252
198939.90269,43.257980568,145.43636098
213908.01181,41.407435285,140.05974256
230002.31175,39.542560004,134.76764618
247307.53637,37.70535747,130.03054886
